ID	Type	SKU	Name	Product Code	size	color	pcs	Published	Is featured?	Visibility in catalog	Short description	Description	Date sale price starts	Date sale price ends	Tax status	Tax class	In stock?	Stock	Low stock amount	Backorders allowed?	Sold individually?	Weight (kg)	Length (cm)	Width (cm)	Height (cm)	Allow customer reviews?	Purchase note	Sale price	Regular price	Categories	Tags	Shipping class	Images	feature1	feature2	feature3	feature4	feature5	Download limit	Download expiry days	Parent	Grouped products	Upsells	Cross-sells	External URL	Button text	Position						
	simple	pack-3-0012	Hotpack - Heavy Duty Garbage Bag 70 Gallon XXL 105cm x 130cm - 10 pcs x 15 packets 	GH105130		Black	10 pcs	1	0	visible	Hotpack - Heavy Duty Garbage Bag 70 Gallon XXL 105cm x 130cm - 10 pcs x 15 packets 	Hotpack - Heavy Duty Garbage Bag 70 Gallon XXL 105cm x 130cm - 10 pcs x 15 packets - Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks. Plus, the dark black color hides the contents for a professional, more attractive waste management solution.				taxable		1			0	0					1		2805	Food Packaging > Food Bags > Plastic Bags	Heavy Duty Garbage Bags, spo-disabled		/hotpack-heavy-duty-garbage-bag-70-gallon-xxl- 105cm-x-130cm-10-pcs-x-15-packets.jpg	Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go	With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks	Plus, the dark black color hides the contents for a professional, more attractive waste management solution											0						
	simple	pack-3-0013	Hotpack - Heavy Duty Garbage Bag 30 Gallon 65cm x 95cm Medium - 10 pcs x 40 packets	GH6595		Black	10 pcs	1	0	visible	Hotpack - Heavy Duty Garbage Bag 30 Gallon 65cm x 95cm Medium - 10 pcs x 40 packets	Hotpack - Heavy Duty Garbage Bag 30 Gallon 65cm x 95cm Medium - 10 pcs x 40 packets - Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks. Plus, the dark black color hides the contents for a professional, more attractive waste management solution.				taxable		1			0	0					1		5720	Food Packaging > Food Bags > Plastic Bags	Heavy Duty Garbage Bags, spo-disabled		/hotpack-heavy-duty-garbage-bag-30-gallon- medium-65cm-x-95cm-10-pcs-x-40-packets.jpg	Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go	With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks	Plus, the dark black color hides the contents for a professional, more attractive waste management solution											0						
	simple	pack-3-0014	Hotpack - Heavy Duty Garbage Bag 55 Gallon 80cm x 110cm Large - 10 pcs x 30 packets	GH80110		Black	10 pcs	1	0	visible	Hotpack - Heavy Duty Garbage Bag 55 Gallon 80cm x 110cm Large - 10 pcs x 30 packets	Hotpack - Heavy Duty Garbage Bag 355Gallon 80cm x 110cm Large - 10 pcs x 30 packets - Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks. Plus, the dark black color hides the contents for a professional, more attractive waste management solution.				taxable		1			0	0					1		4290	Food Packaging > Food Bags > Plastic Bags	Heavy Duty Garbage Bags, spo-disabled		/hotpack-heavy-duty-garbage-bag-55-gallon- 80cm-x-110cm-large-10-pcs-x-30-packets.jpg	Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go	With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks	Plus, the dark black color hides the contents for a professional, more attractive waste management solution											0						
	simple	pack-3-0015	Hotpack - Heavy Duty Garbage Bag 95cm x 120cm - 200 pcs	GH95120		Black	200 pcs	1	0	visible	Hotpack - Heavy Duty Garbage Bag 95cm x 120cm - 200 pcs	Hotpack - Heavy Duty Garbage Bag 95cm x 120cm - 200 pcs - Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks. Plus, the dark black color hides the contents for a professional, more attractive waste management solution.				taxable		1			0	0					1		29700	Food Packaging > Food Bags > Plastic Bags	Heavy Duty Garbage Bags, spo-disabled		/hotpack-heavy-duty-garbage-bag-95cm-x-120cm-200-pcs.jpg	Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go	With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks	Plus, the dark black color hides the contents for a professional, more attractive waste management solution											0						
	simple	pack-3-0016	Hotpack - Heavy Duty Garbage Bag 70 Gallon XXL 105cm x 130cm - 10 pcs x 15 rolls	HSMGBR105130		Black	10 pcs	1	0	visible	Hotpack - Heavy Duty Garbage Bag 70 Gallon XXL 105cm x 130cm - 10 pcs x 15 rolls	Hotpack - Heavy Duty Garbage Bag 70 Gallon XXL 105cm x 130cm - 10 pcs x 15 rolls - Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks. Plus, the dark black color hides the contents for a professional, more attractive waste management solution.				taxable		1			0	0					1		2953.5	Food Packaging > Food Bags > Plastic Bags	Heavy Duty Garbage Bags, spo-disabled		/hotpack-heavy-duty-garbage-bag-70-gallon-xxl-105cm-x-130cm-10-pcs-x-15-rolls.jpg	Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go	With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks	Plus, the dark black color hides the contents for a professional, more attractive waste management solution											0						
	simple	pack-3-0017	Hotpack - Heavy Duty Garbage Bag 30 Gallon 65cm x 95cm Medium - 30 pcs x 15 rolls	HSMGBR6595		Black	30 pcs	1	0	visible	Hotpack - Heavy Duty Garbage Bag 30 Gallon 65cm x 95cm Medium - 30 pcs x 15 rolls	Hotpack - Heavy Duty Garbage Bag 30 Gallon 65cm x 95cm Medium - 30 pcs x 15 rolls - Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks. Plus, the dark black color hides the contents for a professional, more attractive waste management solution.				taxable		1			0	0					1		2392.5	Food Packaging > Food Bags > Plastic Bags	Heavy Duty Garbage Bags, spo-disabled		/hotpack-heavy-duty-garbage-bag-30-gallon-65cm-x-95cm-medium-30-pcs-x-15-rolls.jpg	Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go	With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks	Plus, the dark black color hides the contents for a professional, more attractive waste management solution											0						
	simple	pack-3-0018	Hotpack - Heavy Duty Garbage Bag 55 Gallon 80cm x 110cm - 15 pcs x 15 rolls	HSMGBR80110		Black	15 rolls	1	0	visible	Hotpack - Heavy Duty Garbage Bag 55 Gallon 80cm x 110cm - 15 pcs x 15 rolls	Hotpack - Heavy Duty Garbage Bag 55 Gallon 80cm x 110cm - 15 pcs x 15 rolls - Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks. Plus, the dark black color hides the contents for a professional, more attractive waste management solution.				taxable		1			0	0					1		2227.5	Food Packaging > Food Bags > Plastic Bags	Heavy Duty Garbage Bags, spo-disabled		/hotpack-heavy-duty-garbage-bag-55-gallon-80cm-x-110cm-15-pcs-x-15-rolls.jpg	Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go	With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks	Plus, the dark black color hides the contents for a professional, more attractive waste management solution											0						
	simple	pack-3-0019	Hotpack - Heavy Duty Garbage Bags 60 Gallon 95cm x 120cm - 12 pcs x 15 rolls	HSMGBR95120		Black	15 rolls	1	0	visible	Hotpack - Heavy Duty Garbage Bags 60 Gallon 95cm x 120cm - 12 pcs x 15 rolls	Hotpack - Heavy Duty Garbage Bags 60 Gallon 95cm x 120cm - 12 pcs x 15 rolls - Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks. Plus, the dark black color hides the contents for a professional, more attractive waste management solution.				taxable		1			0	0					1		2392.5	Food Packaging > Food Bags > Plastic Bags	Heavy Duty Garbage Bags, spo-disabled		/hotpack-heavy-duty-garbage-bags-60-gallon-95cm-x-120cm-12-pcs-x-15-rolls.jpg	Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go	With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks	Plus, the dark black color hides the contents for a professional, more attractive waste management solution											0						
	simple	pack-3-0020	Hotpack - Drawstring Garbage Bag 30 Gallon 60cm x 90cm Medium - 20 pcs x 12 rolls	HSMTBBR6090		Black	20 pcs 	1	0	visible	Hotpack - Drawstring Garbage Bag 30 Gallon 60cm x 90cm Medium - 20 pcs x 12 rolls	Hotpack - Drawstring Garbage Bag 30 Gallon 60cm x 90cm Medium - 20 pcs x 12 rolls - Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks. Plus, the dark black color hides the contents for a professional, more attractive waste management solution.				taxable		1			0	0					1		1584	Food Packaging > Food Bags > Plastic Bags	Drawstring Garbage Bag, spo-disabled		/hotpack-drawstring-garbage-bag-30-gallon-60cm-x-90cm-medium-20-pcs-x-12-rolls.jpg,/hotpack-drawstring-garbage-bag-30-gallon-60cm-x-90cm-medium-20-pcs-x-12-rolls-1.jpg	Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go	With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks	Plus, the dark black color hides the contents for a professional, more attractive waste management solution											0						
	simple	pack-3-0021	Hotpack - Drawstring Garbage Bag 50 Gallon 75cm x 103cm Large -  15 pcs x 12 rolls	HSMTBBR75103		Black	15 pcs 	1	0	visible	Hotpack - Drawstring Garbage Bag 50 Gallon 75cm x 103cm Large -  15 pcs x 12 rolls	Hotpack - Drawstring Garbage Bag 50 Gallon 75cm x 103cm Large -  15 pcs x 12 rolls - Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks. Plus, the dark black color hides the contents for a professional, more attractive waste management solution.				taxable		1			0	0					1		1848	Food Packaging > Food Bags > Plastic Bags	Drawstring Garbage Bag, spo-disabled		/hotpack-drawstring-garbage-bag-50-gallon-75cm-x-103cm-large-15-pcs-x-12-rolls.jpg,/hotpack-drawstring-garbage-bag-50-gallon-75cm-x-103cm-large-15-pcs-x-12-rolls-1.jpg	Great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go	With all of the same benefits of a traditional low density liner, plus the added features ideal for heavy-duty applications, this bag is designed to stand up to the toughest tasks	Plus, the dark black color hides the contents for a professional, more attractive waste management solution											0						
