Type,Sku,Name/Product Title,Manufacture Name,Short Description,Description,Part Number,In stock,Regular Price,Special Price,product_code,pcs,tag,color,size,Focus Keyword,Meta _Description,Categories,Images,Features_1,Features_2,Features_3,Features_4,Features_5,Features_6,Features_7,Features_8,Features_9,Features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_18,specification_19,specification_20,wpbm_choose_badge
,pack-8-0122,"Plain Sandwich Paper, 9 Kg - 10Pkts",,"Plain Sandwich Paper, 9 Kg - 10Pkts","Pain Sandwich Paper, 9 Kg - 10Pkts - Our products are perfect for your businesses, restaurants, bakery and home-baked goodies. It will help you deliver your goods in a clean and elegant presentation whether it is for baking, cooking, food preparation and food service supplies.",,1,49.5,,ZAI-SP2409,,,,,"Plain Sandwich Paper, 9 Kg - 10Pkts","Plain Sandwich Paper, 9 Kg - 10Pkts",Food Packaging > Film > Overwrap,/plain-sandwich-paper-9-kg-10pkts.jpg,"Our products are perfect for your businesses, restaurants, bakery and home-baked goodies ","It will help you deliver your goods in a clean and elegant presentation whether it is for baking, cooking, food preparation and food service supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0123,Plain Indonesia Sandwich Paper - 8.7 Kg - 10Pkt,,"Plain Indonesia Sandwich Paper, 8.7 Kg - 10Pkt","Plain Indonesia Sandwich Paper, 8.7 Kg - 10Pkt - Our products are perfect for your businesses, restaurants, bakery and home-baked goodies. It will help you deliver your goods in a clean and elegant presentation whether it is for baking, cooking, food preparation and food service supplies.",,1,66,,ZAI-SP25400,,,,,Plain Indonesia Sandwich Paper - 8.7 Kg - 10Pkt,"Plain Indonesia Sandwich Paper, 8.7 Kg - 10Pkt",Food Packaging > Film > Overwrap,/plain-indonesia-sandwich-paper-8.7-kg-10pkt.jpg,"Our products are perfect for your businesses, restaurants, bakery and home-baked goodies ","It will help you deliver your goods in a clean and elegant presentation whether it is for baking, cooking, food preparation and food service supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0124,Disposable Paper Cup 6 OZ (180gsm) - 20 x 50pcs,,Disposable Paper Cup 6 OZ (180gsm) - 20 x 50pcs,"Disposable Paper Cup 6 OZ (180gsm) - 20 x 50pcs - BPA-Free, made of premium food grade paper. The rolled rim is for rigidity and strength to prevent unwanted spills. The coated polyethylene lining makes this a leak resistant paper cups that won’t get weak or soggy. This paper cups is suitable for cold and hot drinks. This paper cups is a great alternatives for plastic cups. Please use paper cups instead of plastic cups, Protect our planet, you can do more.",,1,46.2,,ZAI-PC6180,50,,,,Disposable Paper Cup 6 OZ (180gsm) - 20 x 50pcs,Disposable Paper Cup 6 OZ (180gsm) - 20 x 50pcs,Paper Products > Paper Cups,/disposable-paper-cup-6-oz-(180gsm)-20-x-50pcs.jpg,"Bpa-free, made of premium food grade paper",This paper cups is a great alternatives for plastic cups,The rolled rim is for rigidity and strength to prevent unwanted spills,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0125,"Disposable Paper Plate Round, 7"" - 12 x 100pcs",,"Disposable Paper Plate Round, 7"" - 12 x 100pcs","Disposable Paper Plate Round, 7"" - 12 x 100pcs - Made of food-grade pulp material with safe and healthy. Bagasse/wheat straw fiber suitable for microwave baking and refrigerator freezer, no deformation and no leakage. Designed with recycled paper for protection of resources. Suitable for birthday parties, theme parties, family gatherings, etc.",,1,55,,ZAI-PP0007,100,,,,"Disposable Paper Plate Round, 7"" - 12 x 100pcs","Disposable Paper Plate Round, 7"" - 12 x 100pcs",Paper Products > Paper Plates,/disposable-paper-plate-round-7-12-x-100-pcs.jpg,Made of food-grade pulp material with safe and healthy,"Bagasse/wheat straw fiber suitable for microwave baking and refrigerator freezer, no deformation and no leakage ",Designed with recycled paper for protection of resources,"Suitable for birthday parties, theme parties, family gatherings, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0126,"White Paper Bag, 30 x 29 x 16cm - 1 x 250pcs",,"White Paper Bag with Handle, 30 x 29 x 16cm - 1 x 250pcs","White Paper Bag, 30 x 29 x 16 - 1 x 250pcs -These shopping bags have serrated edge tops & sturdy paper twisted handles. Available by the carton or mini-pack as well as assortments. Paper shopping bags are made from high quality paper. ",,1,99,,ZAI-PBW300,250,,,,"White Paper Bag, 30 x 29 x 16cm - 1 x 250pcs","White Paper Bag with Handle, 30 x 29 x 16cm - 1 x 250pcs",Bags > Shopping Bags > White Paper Bags,/white-paper-bag-with-handle-30-x-29-x-16-1-x-250-pcs.jpg,These are white shopping bags have serrated edge tops & sturdy paper twisted handles,Paper shopping bags are made from high quality paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0127,"Ktaft Brown Paper Bag, 30 x 29 x 16cm - 1 x 250pcs",,"Kraft Brown Paper Bag with Handle, 30 x 29 x 16cm - 1 x 250pcs","Kraft Brown Paper Bag, 30 x 29 x 16 - 1 x 250pcs - These shopping bags have serrated edge tops & sturdy paper twisted handles. Available by the carton or mini-pack as well as assortments. Paper shopping bags are made from high quality paper. ",,1,99,,ZAI-PBB300,250,,,,"Ktaft Brown Paper Bag, 30 x 29 x 16cm - 1 x 250pcs","Kraft Brown Paper Bag with Handle, 30 x 29 x 16cm - 1 x 250pcs",Bags > Shopping Bags > Brown Paper Bags,/kraft-brown-paper-bag-with-handle-30-x-29-x-16-1-x-250-pcs.jpg,These are white shopping bags have serrated edge tops & sturdy paper twisted handles,Paper shopping bags are made from high quality paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0128,"White Paper Bag with Handle, 33.5 x 27 x 12cm - 1 x 250pcs",,"White Paper Bag with Handle,33.5 x 27 x 12cm - 1 x 250pcs","White Paper Bag with Handle,33.5x27x12 - 1 x 250pcs - These shopping bags have serrated edge tops & sturdy paper twisted handles. Available by the carton or mini-pack as well as assortments. Paper shopping bags are made from high quality paper. ",,1,115.5,,ZAI-PBW330,250,,,,"White Paper Bag with Handle, 33.5 x 27 x 12cm - 1 x 250pcs","White Paper Bag with Handle,33.5 x 27 x 12cm - 1 x 250pcs",Bags > Shopping Bags > White Paper Bags,/white-paper-bag-with-handle-33.5-x-27-x-12-1-x-250-pcs.jpg,These are white shopping bags have serrated edge tops & sturdy paper twisted handles,Paper shopping bags are made from high quality paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0129,"Brown Paper Bag with Handle, 33.5 x 27 x 12cm - 1 x 250 pcs",,"Brown Paper Bag with Handle, 33.5 x 27 x 12cm - 1 x 250 pcs","Brown Paper Bag with Handle, 33.5x27x12 - 1 x 250 pcs - These shopping bags have serrated edge tops & sturdy paper twisted handles. Available by the carton or mini-pack as well as assortments. Paper shopping bags are made from high quality paper. ",,1,115.5,,ZAI-PBB330,250,,,,"Brown Paper Bag with Handle, 33.5 x 27 x 12cm - 1 x 250 pcs","Brown Paper Bag with Handle, 33.5 x 27 x 12cm - 1 x 250 pcs",Bags > Shopping Bags > Brown Paper Bags,/brown-paper-bag-with-handle-33.5-x-27-x-12-1-x-50-pcs.jpg,These are white shopping bags have serrated edge tops & sturdy paper twisted handles,Paper shopping bags are made from high quality paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0130,"Paper Bag with Handle White, 34 x 33 x 18cm - 1 x 250pcs",,"Paper Bag with Handle White, 34 x 33 x 18cm - 1 x 250pcs","Paper Bag with Handle White, 34x33x18 - 1 x 250pcs - These shopping bags have serrated edge tops & sturdy paper twisted handles. Available by the carton or mini-pack as well as assortments. Paper shopping bags are made from high quality paper. ",,1,121,,ZAI-PBW340,250,,,,"Paper Bag with Handle White, 34 x 33 x 18cm - 1 x 250pcs","Paper Bag with Handle White, 34 x 33 x 18cm - 1 x 250pcs",Bags > Shopping Bags > White Paper Bags,/paper-bag-with-handle-white-34-x-33-x-18-cm-1-x-250-pcs.jpg,These are white shopping bags have serrated edge tops & sturdy paper twisted handles,Paper shopping bags are made from high quality paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0131,"Paper Bag with Handle Brown, 34 x 33 x 18cm - 1 x 250pcs",,"Paper Bag with Handle Brown, 34 x 33 x 18cm - 1 x 250pcs","Paper Bag with Handle Brown, 34x33x18 - 1 x 250pcs - These shopping bags have serrated edge tops & sturdy paper twisted handles. Available by the carton or mini-pack as well as assortments. Paper shopping bags are made from high quality paper. ",,1,121,,ZAI-PBB340,250,,,,"Paper Bag with Handle Brown, 34 x 33 x 18cm - 1 x 250pcs","Paper Bag with Handle Brown, 34 x 33 x 18cm - 1 x 250pcs",Bags > Shopping Bags > Brown Paper Bags,/paper-bag-with-handle-brown-34-x-33-x-18-cm-1-x-250-pcs.jpg,These are white shopping bags have serrated edge tops & sturdy paper twisted handles,Paper shopping bags are made from high quality paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0132,12 Oz Kraft Brown Soup Bowl - 1 x 500pcs,,12 Oz Kraft Brown Soup Bowl - 1 x 500pcs,"12 Oz Kraft Brown Soup Bowl - 1 x 500pcs - Use this container to serve anything from signature soups and stews to your most popular hot sides and steamed veggies. Its 12 oz. Size makes it great for single servings, while the classic, round shape ensures that it's easy to hold and carry while on the go. It's an ideal packaging solution for delis, markets, and salad bars.",,1,88,,ZAI-KSBB12,500,,,,12 Oz Kraft Brown Soup Bowl - 1 x 500pcs,12 Oz Kraft Brown Soup Bowl - 1 x 500pcs,Food Packaging > Containers > Soup,"/12-oz-kraft-brown-soup-bowl-1-x-500-pcs.jpg,/12-oz-kraft-brown-soup-bowl-1-x-500-pcs-1.jpg","These cups have a PLA interior lining created from plant-based starches, to give your setting an eco-conscious dominance",These cups come with vented paper lids allowing moist air out as well as eliminating the risk of rapid temperature loss,The added tightly rolled rim ensures a safe and secure lid fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0133,"16 Oz Kraft Soup Bowl, Brown - 1 x 500pcs",,"16 Oz Kraft Soup Bowl, Brown - 1 x 500pcs","16 Oz Kraft Soup Bowl, Brown - 1 x 500pcs -  Use this container to serve anything from signature soups and stews to your most popular hot sides and steamed veggies. Its 16 oz. Size makes it great for single servings, while the classic, round shape ensures that it's easy to hold and carry while on the go. It's an ideal packaging solution for delis, markets, and salad bars.",,1,99,,ZAI-KSBB16,500,,,,"16 Oz Kraft Soup Bowl, Brown - 1 x 500pcs","16 Oz Kraft Soup Bowl, Brown - 1 x 500pcs",Food Packaging > Containers > Soup,"/16-oz-kraft-soup-bowl-brown-1-x-500-pcs.jpg,/16-oz-kraft-soup-bowl-brown-1-x-500-pcs-1.jpg","These cups have a PLA interior lining created from plant-based starches, to give your setting an eco-conscious dominance",These cups come with vented paper lids allowing moist air out as well as eliminating the risk of rapid temperature loss,The added tightly rolled rim ensures a safe and secure lid fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0134,26 Oz Brown Kraft Soup Bowl - 1 x 500pcs,,26 Oz Brown Kraft Soup Bowl - 1 x 500pcs,"26 Oz Brown Kraft Soup Bowl - 1 x 500pcs -  Use this container to serve anything from signature soups and stews to your most popular hot sides and steamed veggies. Its 26 oz. Size makes it great for single servings, while the classic, round shape ensures that it's easy to hold and carry while on the go. It's an ideal packaging solution for delis, markets, and salad bars.",,1,132,,ZAI-KSBB26,500,,,,26 Oz Brown Kraft Soup Bowl - 1 x 500pcs,26 Oz Brown Kraft Soup Bowl - 1 x 500pcs,Food Packaging > Containers > Soup,/26-oz-brown-kraft-soup-bowl-1-x-500-pcs.jpg,"These cups have a PLA interior lining created from plant-based starches, to give your setting an eco-conscious dominance",These cups come with vented paper lids allowing moist air out as well as eliminating the risk of rapid temperature loss,The added tightly rolled rim ensures a safe and secure lid fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0135,"Kraft Soup Bowl with Lid,  Brown - 1 x 500pcs",,"Kraft Soup Bowl with Lid,  Brown - 1 x 500pcs","Kraft Soup Bowl with Lid,  Brown - 1 x 500pcs -  Use this container to serve anything from signature soups and stews to your most popular hot sides and steamed veggies. Its size makes it great for single servings, while the classic, round shape ensures that it's easy to hold and carry while on the go. It's an ideal packaging solution for delis, markets, and salad bars.",,1,33,,ZAI-KSBBL,500,,,,"Kraft Soup Bowl with Lid,  Brown - 1 x 500pcs","Kraft Soup Bowl with Lid,  Brown - 1 x 500pcs",Food Packaging > Containers > Soup,/kraft-soup-bowl-with-Lid-brown-1-x-500-pcs.jpg,"These cups have a PLA interior lining created from plant-based starches, to give your setting an eco-conscious dominance",These cups come with vented paper lids allowing moist air out as well as eliminating the risk of rapid temperature loss,The added tightly rolled rim ensures a safe and secure lid fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0136,"Paper Pouch (Bon Appetit), 19.5 cm - 1 x 1000pcs",,"Paper Pouch (Bon Appetit), 19.5 cm - 1 x 1000pcs","Paper Pouch (Bon Appetit), 19.5 cm - 1 x 1000pcs - Serve fresh popcorn, pretzels, and other dishes using our Foil Lux Kraft Paper Printed Foil Bags. Made with aluminum foil and paper, these foil bags have a classic white finish and printed message that reads ""Bon Appetit"" to instantly enhance the look of take out orders. With a non-vented design, these foil for food packaging provides moisture and heat retention to keep meals at the perfect temperature during delivery services. The interior of each foil pouch has a greaseproof lining that prevents foods from getting soggy and oily messes.",,1,49.5,,,1000,,,,"Paper Pouch (Bon Appetit), 19.5 cm - 1 x 1000pcs","Paper Pouch (Bon Appetit), 19.5 cm - 1 x 1000pcs",Food Packaging >  Food Bags >  Foil Bags,/paper-pouch-(bon-appetit)-19.5-cm-1-x-1000-pcs.jpg,Made with aluminum foil and paper,These foil pouches are designed for serving all types of snacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-8-0137,"Paper Pouch (Bon Appetit), 31 cm - 1 x 1000pcs",,"Paper Pouch (Bon Appetit), 31 cm - 1 x 1000pcs","Paper Pouch (Bon Appetit), 31 cm - 1 x 1000pcs - Serve fresh popcorn, pretzels, and other dishes using our Foil Lux Kraft Paper Printed Foil Bags. Made with aluminum foil and paper, these foil bags have a classic white finish and printed message that reads ""Bon Appetit"" to instantly enhance the look of take out orders. With a non-vented design, these foil for food packaging provides moisture and heat retention to keep meals at the perfect temperature during delivery services. The interior of each foil pouch has a greaseproof lining that prevents foods from getting soggy and oily messes.",,1,49.5,,,1000,,,,"Paper Pouch (Bon Appetit), 31 cm - 1 x 1000pcs","Paper Pouch (Bon Appetit), 31 cm - 1 x 1000pcs",Food Packaging >  Food Bags >  Foil Bags,/paper-pouch-(bon-appetit)-31-cm-1-x-1000-pcs.jpg,Made with aluminum foil and paper,These foil pouches are designed for serving all types of snacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
