Type,Sku,supplier_sku,supplier_name,Name,Brand Name,Short Description,Description,Part Number,In stock,Regular Price,_supplier_price,New Category Path,Special Price,min_order,sale_term,Focus Keyword,Meta _Description,Estimated Dispatch,,Images,datasheet_pdf,Features_1,Features_2,Features_3,Features_4,Features_5,Features_6,Features_7,Features_8,Features_9,Features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_18,specification_19,specification_20,Civil Defence Approved,,product_url
,pack-0011,,,"3M 620 - 2"" Anti-Static Tape Dispenser",,"3M 620 - 2"" Anti-Static Tape Dispenser",3M 620 - 2 inch anti-static tape dispenser. Use to dispense 3M anti-static tape. Base is weighted for added stability. Holds tape up to 2 inch wide on 3 inch cores.,,,1363.44,,Tapes>Dispensers>Table Top Tape Dispenser,,,,,"3M 620 - 2"" Anti-Static Tape Dispenser",,,https://cdn.shopify.com/s/files/1/2618/8176/products/3m-620-2-anti-static-tape-dispenser_2000x.jpg,,Base is weighted for added stability.,"Holds tape up to 2"" wide on 3"" cores.",Strength/Material: Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0012,,,"3M P52W 3"" Core Table Top Dispenser",,"3M P52W 3"" Core Table Top Dispenser","3M P52W 3"" Core Table Top Dispenser. Convenient 1"" and 3"" core tape dispensers keep hands free. Weighted and balanced for stability on work services. Withstands industrial demands and large volume packaging operations with its high impact plastic construction. Allows for one-handed dispensing of a wide variety of tapes. Holds multiple rolls of 3"" core tapes. 2"" wide blade.",,,428.65757,,Tapes>Dispensers>Table Top Tape Dispenser,,,,,"3M P52W 3"" Core Table Top Dispenser",,,https://cdn.shopify.com/s/files/1/2618/8176/products/3m-p52w-3-core-table-top-dispenser_2000x.jpg,,Weighted and balanced for stability on work services.,Heavy-duty dispenser for busy offices and retail counters.,Allows for one-handed dispensing of a wide variety of tapes.,"Holds tape on a 3"" core.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0013,,,"3M C22 3"" Core Table Top Dispenser",,"3M C22 3"" Core Table Top Dispenser","3M C22 3"" Core Table Top Dispenser. Convenient 1"" and 3"" core tape dispensers keep hands free. Weighted and balanced for stability on work services. Great for studios, classrooms and frame shops. Allows for one-handed dispensing of a wide variety of tapes. Holds 2 rolls of 1"" wide tape on 3"" cores.",,,358.47,,Tapes>Dispensers>Table Top Tape Dispenser,,,,,"3M C22 3"" Core Table Top Dispenser",,,https://cdn.shopify.com/s/files/1/2618/8176/products/3m-c22-3-core-table-top-dispenser_2000x.jpg,,Weighted and balanced for stability on work services.,Heavy-duty dispenser for busy offices and retail counters.,Allows for one-handed dispensing of a wide variety of tapes.,"Holds tape on a 3"" core.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0014,,,"3M C25 3"" Core Table Top Dispenser",,"3M C25 3"" Core Table Top Dispenser","3M C25 3"" Core Table Top Dispenser. Convenient 1"" and 3"" core tape dispensers keep hands free. Weighted and balanced for stability on work services. Heavy-duty dispenser for busy offices and retail counters. Allows for one-handed dispensing of a wide variety of tapes. Holds tape on a 3"" core.",,,151.79,,Tapes>Dispensers>Table Top Tape Dispenser,,,,,"3M C25 3"" Core Table Top Dispenser",,,https://cdn.shopify.com/s/files/1/2618/8176/products/3m-c25-3-core-table-top-dispenser_2000x.jpg,,Weighted and balanced for stability on work services.,Heavy-duty dispenser for busy offices and retail counters.,Allows for one-handed dispensing of a wide variety of tapes.,"Holds tape on a 3"" core.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0015,,,Double Sided Masking Tape Dispenser,,Double Sided Masking Tape Dispenser,"The Double Sided Masking Tape Dispenser is an attractive, metal desktop model with fine blade and metal spool that adjusts easily for adhesive tapes",,,560.29932,,Tapes>Dispensers>Masking Tape Dispenser,,,,,Double Sided Masking Tape Dispenser,,,https://cdn.shopify.com/s/files/1/2618/8176/products/double-sided-masking-tape-dispenser_2000x.jpg,,Strength/Material: Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0016,,,"1"" Single Roll Masking Tape Dispenser",,"1"" Single Roll Masking Tape Dispenser","Dispense single or multiple rolls of tape on the same dispenser (for the 2"" or 3"" styles). Guides keep tape separated for an easy fit.Serrated blade cuts tape cleanly.",,,88.61877,,Tapes>Dispensers>Masking Tape Dispenser,,,,,"1"" Single Roll Masking Tape Dispenser",,,https://cdn.shopify.com/s/files/1/2618/8176/products/1-tape-logic-single-roll-table-top-dispenser_2000x.jpg,,"Dispense single or multiple rolls of tape on the same dispenser (for the 2"" or 3"" styles).",Guides keep tape separated for an easy fit.,Serrated blade cuts tape cleanly.,"Holds 3"" diameter cores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0017,,,"2"" Table Top Masking Tape Dispenser (can hold multiple rls)",,"2"" Table Top Masking Tape Dispenser (can hold multiple rls)","Dispense single or multiple rolls of tape on the same dispenser (for the 2"" or 3"" styles). Guides keep tape separated for an easy fit.Serrated blade cuts tape cleanly.",,,104.19852,,Tapes>Dispensers>Table Top Tape Dispenser,,,,,"2"" Table Top Masking Tape Dispenser (can hold multiple rls)",,,https://cdn.shopify.com/s/files/1/2618/8176/products/1-tape-logic-single-roll-table-top-dispenser_2000x.jpg,,"Dispense single or multiple rolls of tape on the same dispenser (for the 2"" or 3"" styles).",Guides keep tape separated for an easy fit.,Serrated blade cuts tape cleanly.,"Holds 3"" diameter cores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0018,,,"3"" Table Top Masking Tape Dispenser (can hold multiple rls)",,"3"" Table Top Masking Tape Dispenser (can hold multiple rls)","Dispense single or multiple rolls of tape on the same dispenser (for the 2"" or 3"" styles). Guides keep tape separated for an easy fit.Serrated blade cuts tape cleanly.",,,120.77881,,Tapes>Dispensers>Table Top Tape Dispenser,,,,,"3"" Table Top Masking Tape Dispenser (can hold multiple rls)",,,https://cdn.shopify.com/s/files/1/2618/8176/products/2-tape-logic-multi-roll-table-top-dispenser_2000x.jpg,,"Dispense single or multiple rolls of tape on the same dispenser (for the 2"" or 3"" styles).",Guides keep tape separated for an easy fit.,Serrated blade cuts tape cleanly.,"Holds 3"" diameter cores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0019,,,"0.5"" Mini Tape Dispenser",,"0.5"" Mini Tape Dispenser","Boost your productivity with the Desktop Tape Dispenser. Its sleek wave design looks great and complements most office decor. Our dispenser is weighted for easy, one-handed dispensing to save time and effort.",,2,433.07 incl,,Tapes>Dispensers>Tape Dispenser,,,,,"0.5"" Mini Tape Dispenser",,,https://www.upack.in/media/catalog/product/cache/1a5cb7b56cc703e17bb7df121f1b26e5/i/m/img_24741.jpg,,"Permanent, easy load tape core","Weighted for easy, one-handed dispensing.",Ideal for desk and light applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0020,,,"1"" Tape Dispenser",,"1"" Tape Dispenser","Boost your productivity with the Desktop Tape Dispenser. Its sleek wave design looks great and complements most office decor. Our dispenser is weighted for easy, one-handed dispensing to save time and effort.",,2,437.63,,Tapes>Dispensers>Tape Dispenser,,,,,"1"" Tape Dispenser",,,https://www.upack.in/media/catalog/product/cache/1a5cb7b56cc703e17bb7df121f1b26e5/i/m/img_24781.jpg,,"Permanent, easy load tape core","Weighted for easy, one-handed dispensing.",Ideal for desk and light applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
