Type,Sku,parent_sku,Name/Product Title,Manufacture Name,Short Description,Description,Part Number,In stock,Regular Price,Special Price,color,size,Focus Keyword,Meta _Description,Categories,Images,Features_1,Features_2,Features_3,Features_4,Features_5,Features_6,Features_7,Features_8,Features_9,Features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_18,specification_19,specification_20,wpbm_choose_badge
,ps00031-3,ps00031,,,,,,,130,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00031-4,ps00031,,,,,,,55,,,72mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00031-5,ps00031,,,,,,,80,,,72mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00031-6,ps00031,,,,,,,130,,,72mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00031-7,ps00031,,,,,,,10,,,48mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00031-8,ps00031,,,,,,,15,,,48mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00031-9,ps00031,,,,,,,24,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00031-10,ps00031,,,,,,,16,,,72mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00031-11,ps00031,,,,,,,23,,,72mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00031-12,ps00031,,,,,,,35,,,72mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,ps00032,,Aluminum Tape - Silver,,Aluminum Tape - Silver,"High-quality, high tensile strength aluminum foil coated in epoxy resin with strong, cold-weather solvent acrylic adhesive set on a easy-release silicone paper liner to preserve the adhesive and provide ease of use. Sticks To Virtually Anything At High And Low Temperatures: Our aluminum foil tape provides a durable bond at low and high temperatures. Conformable backing and pressure sensitive adhesive means it is designed to adhere properly to a variety of smooth and irregular surfaces.",,1,,,,,Aluminum Tape - Silver,Aluminum Tape - Silver,Tape>Masking Tape>Colored Masking Tape,https://m.media-amazon.com/images/I/61bGgSt33nL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/717m5FZO6WL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/71OkGfONAxL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/71MHX3YeF4L._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/71IY65bzyoL._AC_SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00032-1,ps00032,,,,,,,66,,,48mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00032-2,ps00032,,,,,,,90,,,48mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00032-3,ps00032,,,,,,,144,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00032-4,ps00032,,,,,,,66,,,72mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00032-5,ps00032,,,,,,,90,,,72mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00032-6,ps00032,,,,,,,144,,,72mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00032-7,ps00032,,,,,,,13,,,48mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00032-8,ps00032,,,,,,,17,,,48mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00032-9,ps00032,,,,,,,26,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00032-10,ps00032,,,,,,,19,,,72mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00032-11,ps00032,,,,,,,25,,,72mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00032-12,ps00032,,,,,,,39,,,72mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,ps00033,,Heavy Duty Duct Tape/Binding Tape - Red,,Heavy Duty Duct Tape/Binding Tape - Red,"Duct Tape is the all-around tool for temporary repairs and quick fixes around the house, garden or garage.With its high adhesion and easy-to-tear application, this workbench favorite is great for holding, seaming, sealing and bundling.",,1,,,,,Heavy Duty Duct Tape/Binding Tape - Red,Heavy Duty Duct Tape/Binding Tape - Red,Tape>Duct Tape>Colored Duct Tape,https://m.media-amazon.com/images/I/91S-jU5mAqL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/715wu6u83bL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/6120CrVd86L._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/71Ejx3VjT8L._AC_SL1200_.jpg||https://m.media-amazon.com/images/I/81WfpD30VJL._AC_SL1200_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00033-1,ps00033,,,,,,,140,,,48mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00033-2,ps00033,,,,,,,210,,,48mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00033-3,ps00033,,,,,,,350,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,ps00034,,Heavy Duty Duct Tape/Binding Tape - Yellow,,Heavy Duty Duct Tape/Binding Tape - Yellow,"Duct Tape is the all-around tool for temporary repairs and quick fixes around the house, garden or garage.With its high adhesion and easy-to-tear application, this workbench favorite is great for holding, seaming, sealing and bundling.",,1,,,,,Heavy Duty Duct Tape/Binding Tape - Yellow,Heavy Duty Duct Tape/Binding Tape - Yellow,Tape>Duct Tape>Colored Duct Tape,https://m.media-amazon.com/images/I/51ZUBrrugkL._AC_.jpg||https://m.media-amazon.com/images/I/81-nfH9XoXL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/71cAHvx9D8L._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/81FhTLhnhjL._AC_SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00034-1,ps00034,,,,,,,140,,,48mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00034-2,ps00034,,,,,,,210,,,48mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00034-3,ps00034,,,,,,,350,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
